Downloaded URL,Size in Bytes,No of outlinks,ContentType
https://www.nytimes.com/by/dani-blum,450217,54,text/html
https://www.nytimes.com/section/well/live,551699,78,text/html
https://www.nytimes.com/2022/01/26/well/live/neti-pot.html,294468,160,text/html
https://www.nytimes.com/2023/09/12/health/cold-medicine-decongestant-fda.html,263620,125,text/html
https://www.nytimes.com/2023/03/06/arts/design/whitney-museum-union-contract.html,241621,126,text/html
https://www.nytimes.com/2021/07/30/arts/design/guggenheim-museum-curators-union.html,235723,113,text/html
https://www.nytimes.com/2020/10/08/arts/design/guggenheim-investigation-nancy-spector.html,263158,127,text/html
https://www.nytimes.com/by/zachary-small,304714,55,text/html
https://www.nytimes.com/2020/10/05/dining/drinks/california-fires-wine-napa.html,338283,152,text/html
https://www.nytimes.com/2022/09/23/well/eat/natural-wine-health-hangovers.html?action=click&pgtype=Article&state=default&module=styln-wine-guide&variant=show&region=BELOW_MAIN_CONTENT&block=storyline_flex_guide_recirc,300951,162,text/html
https://www.nytimes.com/2023/05/04/dining/drinks/best-boxed-wines.html?action=click&pgtype=Article&state=default&module=styln-wine-guide&variant=show&region=BELOW_MAIN_CONTENT&block=storyline_flex_guide_recirc,329678,152,text/html
https://www.nytimes.com/2022/08/19/dining/drinks/how-to-think-about-wine.html?action=click&pgtype=Article&state=default&module=styln-wine-guide&variant=show&region=BELOW_MAIN_CONTENT&block=storyline_flex_guide_recirc,269714,132,text/html
